Equipo,PTS,PJ,PG,PE,PP,GF,GC,DG
Real Madrid C,76,34,23,7,4,62,18,44
CD Móstoles,63,34,17,12,5,57,33,24
Leganés B,58,34,16,10,8,47,33,14
Las Rozas,50,34,13,11,10,51,39,12
CD Colonia Moscardó,50,34,14,8,12,48,48,0
RSD Alcalá,48,34,13,9,12,52,47,5
CDF Tres Cantos,48,34,14,6,14,45,48,-3
Alcorcón B,45,34,11,12,11,36,33,3
AD Torrejón CF,44,34,9,17,8,40,38,2
Galapagar,41,34,10,11,13,44,55,-11
México FC,40,34,10,10,14,39,47,-8
Trival Valderas,40,34,8,16,10,33,40,-7
CD Canillas,40,34,10,10,14,35,46,-11
CUC Villalba,39,34,10,9,15,42,46,-4
Rayo Vallecano B,39,34,11,6,17,43,57,-14
AD Parla,38,34,9,11,14,37,47,-10
Siello FC,35,34,8,11,15,27,39,-12
CF Pozuelo,29,34,5,14,15,28,52,-24
