Equipo,PTS,PJ,PG,PE,PP,GF,GC,DG
Atlético B,95,40,29,8,3,82,26,56
Las Rozas,75,40,22,9,9,68,35,33
CDE Fuenlabrada Promesas,72,40,20,12,8,61,42,19
Alcorcón B,69,40,19,12,9,63,39,24
México FC,66,40,19,9,12,56,44,12
CD Ursaria,64,40,16,16,8,47,27,20
RSD Alcalá,64,40,18,10,12,45,40,5
Getafe B,61,40,17,10,13,56,46,10
Rayo Vallecano B,57,40,15,12,13,59,43,16
AD Torrejón CF,57,40,16,9,15,55,48,7
CF Pozuelo,57,40,15,12,13,39,45,-6
Galapagar,56,40,16,8,16,50,57,-7
Trival Valderas,53,40,13,14,13,40,42,-2
AD Parla,52,40,14,10,16,46,46,0
CDF Tres Cantos,47,40,13,8,19,41,52,-11
SAD Villaverde,45,40,13,6,21,35,45,-10
Moratalaz,43,40,12,7,21,46,73,-27
Villaviciosa Odón,38,40,10,8,22,47,73,-26
Complutense Alcala,37,40,9,10,21,31,58,-27
RCD Carabanchel,33,40,7,12,21,43,70,-27
CD Colonia Moscardó,17,40,5,2,33,20,79,-59
