Equipo,PTS,PJ,PG,PE,PP,GF,GC,DG
CD Ursaria,68,30,20,8,2,62,22,40
Real Madrid C,67,30,21,4,5,73,27,46
Getafe B,54,30,15,9,6,49,24,25
México FC,48,30,14,6,10,48,40,8
CD Móstoles,47,30,14,5,11,38,32,6
RSD Alcalá,46,30,12,10,8,31,28,3
Las Rozas,45,30,13,6,11,37,38,-1
Trival Valderas,37,30,11,4,15,38,44,-6
CF Pozuelo,37,30,9,10,11,37,47,-10
AD Torrejón CF,35,30,9,8,13,31,42,-11
Galapagar,35,30,10,5,15,38,44,-6
CUC Villalba,34,30,9,7,14,30,45,-15
CD Canillas,34,30,9,7,14,34,46,-12
Rayo Vallecano B,33,30,9,6,15,42,45,-3
CDE Fuenlabrada Promesas,32,30,9,5,16,31,52,-21
Real Aranjuez CF,16,30,4,4,22,21,64,-43
